symbol,0.35,price,exp_return_3m,return,,return,purchased,,,price,return
AMD,9,40.98,33.4,0.334,368.82,123.18588,1,,,3861.11,1291.334957
FTNT,9,102.45,28.59,0.2859,922.05,263.614095,1,,,,
URI,9,148.52,36.06,0.3606,1336.68,482.006808,1,,,,
CTL,5,14.87,32.06,0.3206,74.35,23.83661,1,,,,
PBCT,2,16.32,12.94,0.1294,32.64,4.223616,1,,,,
QRVO,2,101.89,39.46,0.3946,203.78,80.411588,1,,,,
TGT,2,126.43,47.82,0.4782,252.86,120.917652,1,,,,
TJX,2,59.32,15.16,0.1516,118.64,17.985824,1,,,,
AMAT,1,59.65,27.65,0.2765,59.65,16.493225,1,,,,
INTC,1,57.9,24.25,0.2425,57.9,14.04075,1,,,,
LRCX,1,274.13,32.58,0.3258,274.13,89.311554,1,,,,
MPC,1,61.8,32.28,0.3228,61.8,19.94904,1,,,,
PVH,1,97.81,36.15,0.3615,97.81,35.358315,1,,,,
A,0,78.52,10.4,0.104,0,0,0,,,,
AAL,0,28.23,9.29,0.0929,0,0,0,,,,
AAP,0,161.74,19.47,0.1947,0,0,0,,,,
AAPL,0,263.19,25.11,0.2511,0,0,0,,,,
ABBV,0,87.2,31.31,0.3131,0,0,0,,,,
ABC,0,87.55,1.45,0.0145,0,0,0,,,,
ABMD,0,185.25,-3.83,-0.0383,0,0,0,,,,
ABT,0,83.89,-0.77,-0.0077,0,0,0,,,,
ACN,0,197.71,1.81,0.0181,0,0,0,,,,
ADBE,0,300.1,5.04,0.0504,0,0,0,,,,
ADI,0,108.58,-1.55,-0.0155,0,0,0,,,,
ADM,0,42.5,13.39,0.1339,0,0,0,,,,
ADP,0,170.58,1.61,0.0161,0,0,0,,,,
ADS,0,101.22,-22.59,-0.2259,0,0,0,,,,
ADSK,0,165.33,12.81,0.1281,0,0,0,,,,
AEE,0,75.47,-1.55,-0.0155,0,0,0,,,,
AEP,0,91.46,0.76,0.0076,0,0,0,,,,
AES,0,18.6,22.45,0.2245,0,0,0,,,,
AFL,0,54.13,4.38,0.0438,0,0,0,,,,
AGN,0,184.96,16.25,0.1625,0,0,0,,,,
AIG,0,52.93,-0.94,-0.0094,0,0,0,,,,
AIV,0,54.59,8.12,0.0812,0,0,0,,,,
AIZ,0,132.46,7.94,0.0794,0,0,0,,,,
AJG,0,93.1,3.95,0.0395,0,0,0,,,,
AKAM,0,86.86,0.24,0.0024,0,0,0,,,,
ALB,0,65.05,1.37,0.0137,0,0,0,,,,
ALGN,0,268.77,54.02,0.5402,0,0,0,,,,
ALK,0,68.44,13.86,0.1386,0,0,0,,,,
ALL,0,110.4,6.96,0.0696,0,0,0,,,,
ALLE,0,117.5,23.68,0.2368,0,0,0,,,,
ALXN,0,108.53,-2.6,-0.026,0,0,0,,,,
AMCR,0,9.83,-1.4,-0.014,0,0,0,,,,
AME,0,98.49,14.24,0.1424,0,0,0,,,,
AMG,0,84,10.83,0.1083,0,0,0,,,,
AMGN,0,225.51,11,0.11,0,0,0,,,,
AMP,0,158.38,25.35,0.2535,0,0,0,,,,
AMT,0,217.9,-3.4,-0.034,0,0,0,,,,
AMZN,0,1745.53,-3.1,-0.031,0,0,0,,,,
ANET,0,194.04,-11.47,-0.1147,0,0,0,,,,
ANSS,0,245.49,15.16,0.1516,0,0,0,,,,
ANTM,0,292.7,9.8,0.098,0,0,0,,,,
AON,0,201.53,5.33,0.0533,0,0,0,,,,
AOS,0,48.09,4.14,0.0414,0,0,0,,,,
APA,0,22.87,5.15,0.0515,0,0,0,,,,
APD,0,237.9,5.39,0.0539,0,0,0,,,,
APH,0,102.22,17.85,0.1785,0,0,0,,,,
APTV,0,89.5,8.89,0.0889,0,0,0,,,,
ARE,0,160.03,8.25,0.0825,0,0,0,,,,
ARNC,0,30.83,22.2,0.222,0,0,0,,,,
ATO,0,108.79,-1.29,-0.0129,0,0,0,,,,
ATVI,0,54.08,10.83,0.1083,0,0,0,,,,
AVB,0,216.36,4.75,0.0475,0,0,0,,,,
AVGO,0,311.67,11.16,0.1116,0,0,0,,,,
AVY,0,131.77,15.5,0.155,0,0,0,,,,
AWK,0,120.57,-2.46,-0.0246,0,0,0,,,,
AXP,0,119.3,-1.75,-0.0175,0,0,0,,,,
AZO,0,1159.65,6.28,0.0628,0,0,0,,,,
BA,0,370.91,11.8,0.118,0,0,0,,,,
BAC,0,32.69,22.34,0.2234,0,0,0,,,,
BAX,0,82,-5.71,-0.0571,0,0,0,,,,
BBT,0,54.41,18.15,0.1815,0,0,0,,,,
BBY,0,74.15,12.28,0.1228,0,0,0,,,,
BDX,0,246.78,-1,-0.01,0,0,0,,,,
BEN,0,27.33,1.07,0.0107,0,0,0,,,,
BF.B,0,67,15.22,0.1522,0,0,0,,,,
BIIB,0,285.4,23.4,0.234,0,0,0,,,,
BK,0,48.88,16.49,0.1649,0,0,0,,,,
BKNG,0,1851.82,-4.27,-0.0427,0,0,0,,,,
BKR,0,22.42,6.21,0.0621,0,0,0,,,,
